model,strategy,rt_true_peak,rt_fw_peak,rt_bw_peak,rt_opt_peak,rt_peak_phase,l2_true_peak,l25_true_peak,l3_true_peak,l2_mre,l25_mre,l3_mre,l2_direction,l25_direction,l3_direction,step_ms
gpt2,eager,11504718677,11504718677,11049322325,2036280832,FW,,,,,,,,,,356.4
gpt2,aot_eager+default,12187997013,11512713045,12187997013,2036516352,BW,12137637424,,,0.004131900339841345,,,under,,,460.2
gpt2,inductor(b=1.0),9727281834,9707133098,9727281834,2047828480,BW,10487778864,10487778864,10619427864,0.07818186446925149,0.07818186446925149,0.0917158611444423,over,over,over,315.2
gpt2,inductor(b=0.0),11565635072,2834010624,11565635072,2048601600,BW,12966553136,12362573360,12090432560,0.121127638497913,0.06890570928779863,0.04537558765540826,over,over,over,365.8
gpt2,ac+inductor,4636023296,4615874560,4636023296,2032597504,BW,5416080432,5416080432,5204843560,0.16825996898528095,0.16825996898528095,0.12269573030204203,over,over,over,322.1
gpt2,sac_mm+inductor,7222335488,6749201920,7222335488,2036791808,BW,7995576880,7995576880,7822089252,0.10706251368200081,0.10706251368200081,0.08304152652511065,over,over,over,282.1
llama,eager,26074606592,26074606592,25537702400,14062165333,FW,,,,,,,,,,1342.5
llama,aot_eager+default,29218499584,26074605568,29218499584,14061815808,BW,30285352960,,,0.03651294184127809,,,over,,,1157.3
llama,inductor(b=1.0),23530777600,23530760192,23530777600,14068107264,BW,23979168256,23977185792,26687664104,0.019055496746524857,0.018971246917058957,0.13415988870678036,over,over,over,1086.5
llama,inductor(b=0.0),23807601664,11668695040,23807601664,14068107264,BW,28215501824,25296266240,24206733228,0.18514675363815764,0.06252896016195712,0.016764879118568908,over,over,over,1407.0
llama,ac+inductor,16097643008,13369534464,16097643008,14187644928,BW,14742508032,14652330496,14556385280,0.08418219830856868,0.08978410760393477,0.09574431034618208,under,under,under,1319.6
llama,sac_mm+inductor,21122722816,21055596544,21122722816,14085234005,BW,21755662848,21755662848,21305847784,0.029964888405417212,0.029964888405417212,0.00866957208098602,over,over,over,1122.7
mistral,eager,25468793856,25468793856,25065058816,11321919488,FW,,,,,,,,,,1268.3
mistral,aot_eager+default,27887279786,25445199872,27887279786,11304792746,BW,30165123072,,,0.0816803683786873,,,over,,,1341.9
mistral,inductor(b=1.0),22613537792,22613520384,22613537792,11309686101,BW,23095575040,23093592576,25184886760,0.021316312928732917,0.021228645796847814,0.11370838971112548,over,over,over,972.4
mistral,inductor(b=0.0),22899799040,9442570240,22899799040,11303744170,BW,27850429440,24604038144,23360888748,0.21618663078014505,0.07442157466199319,0.020135098443204505,over,over,over,1280.6
mistral,ac+inductor,13015164074,11131088896,13015164074,11357221546,BW,11846994432,11779885568,11771226112,0.08975450753891126,0.09491071330154635,0.09557604920901283,under,under,under,1191.7
mistral,sac_mm+inductor,19831665664,19630321664,19831665664,11357046784,BW,20289061376,20289061376,19962453992,0.023063907981783933,0.023063907981783933,0.00659492400769025,over,over,over,1015.6
