optimizer,strategy,batch,fw_peak,bw_peak,opt_peak,fwbw_peak,true_peak,peak_phase,step_ms,base
SGD,eager,2,7476784640,7351723008,7103698773,7476784640,7476784640,FW,356.3,3578290688
SGD,inductor(b=1.0),2,6844232192,7413642922,7105970688,7413642922,7413642922,BW,290.9,3577242112
SGD,inductor(b=0.0),2,3851619498,7404469930,7104922112,7404469930,7404469930,BW,373.2,3577242112
SGD,ac+inductor,2,4256219648,7418706944,7111213568,7418706944,7418706944,BW,347.1,3577242112
SGD,eager,4,11396769280,11128316928,7119610368,11396769280,11396769280,FW,531.5,3577250304
SGD,inductor(b=1.0),4,10103874048,10103883264,7111571285,10103883264,10103883264,BW,517.6,3577250304
SGD,inductor(b=0.0),4,4124606976,10242295296,7118561792,10242295296,10242295296,BW,688.2,3577250304
SGD,ac+inductor,4,4934132224,7854138368,7119610368,7854138368,7854138368,BW,603.6,3577250304
SGD,eager,8,19084183040,18547278848,7071392256,19084183040,19084183040,FW,1240.3,3577266688
SGD,inductor(b=1.0),8,16534045184,16534062592,7071392256,16534062592,16534062592,BW,975.1,3577266688
SGD,inductor(b=0.0),8,4671980032,16810886656,7071392256,16810886656,16810886656,BW,1300.3,3577266688
SGD,ac+inductor,8,6291030528,9020187648,7110189568,9020187648,9020187648,BW,1210.2,3577266688
SGD,eager,16,34578646528,33502790656,7071425024,34578646528,34578646528,FW,2358.6,3577299456
SGD,inductor(b=1.0),16,29478371840,29480453632,7071425024,29480453632,29480453632,BW,1857.1,3577299456
SGD,inductor(b=0.0),16,5766726144,30044538368,7072473600,30044538368,30044538368,BW,2466.3,3577299456
SGD,ac+inductor,16,9000731136,11352286208,7085056512,11352286208,11352286208,BW,2276.3,3577299456
Adam,eager,2,14565873834,14440462677,14714987008,14565873834,14714987008,OPT,520.3,10666156544
Adam,inductor(b=1.0),2,13922482005,14482809173,14699607893,14482809173,14699607893,OPT,451.6,10658816512
Adam,inductor(b=0.0),2,10930747221,14478529536,14703627434,14478529536,14703627434,OPT,538.3,10656719360
Adam,ac+inductor,2,11341195776,14506223274,14723026090,14506223274,14723026090,OPT,512.9,10663010816
Adam,eager,4,18447585450,18178434048,14696819882,18447585450,18447585450,FW,821.8,10629464576
Adam,inductor(b=1.0),4,17161680725,17161689941,14690178901,17161689941,17161689941,BW,654.8,10642047488
Adam,inductor(b=0.0),4,11189404160,17304995328,14705558016,17304995328,17304995328,BW,852.3,10642047488
Adam,ac+inductor,4,12018852352,14933615616,14723383808,14933615616,14933615616,BW,795.9,10661970432
Adam,eager,8,26072434176,25535529984,14583939584,26072434176,26072434176,FW,1397.5,10565517824
Adam,inductor(b=1.0),8,23528587776,23528605184,14590231040,23528605184,23528605184,BW,1136.0,10571809280
Adam,inductor(b=0.0),8,11666522624,23805429248,14590231040,23805429248,23805429248,BW,1462.5,10571809280
Adam,ac+inductor,8,13367362048,16080091477,14693341013,16080091477,16080091477,BW,1371.7,10653598208
Adam,eager,16,41567946240,40492090368,14587817130,41567946240,41567946240,FW,2253.5,10566599168
Adam,inductor(b=1.0),16,36466622976,36468704768,14584321877,36468704768,36468704768,BW,1994.8,10565550592
Adam,inductor(b=0.0),16,12754977280,37033838080,14587817130,37033838080,37033838080,BW,2482.8,10565550592
Adam,ac+inductor,16,16034071040,18394713770,14651780266,18394713770,18394713770,BW,2443.5,10610639360
Adam(fused),eager,2,14565949098,14440537941,14190766080,14565949098,14565949098,FW,451.4,10666231808
Adam(fused),inductor(b=1.0),2,13923788800,14489870848,14182377472,14489870848,14489870848,BW,393.3,10658891776
Adam(fused),inductor(b=0.0),2,10930822485,14483323392,14184125098,14483323392,14483323392,BW,483.8,10656794624
Adam(fused),ac+inductor,2,11341271040,14506298538,14198805162,14506298538,14506298538,BW,395.6,10663086080
Adam(fused),eager,4,18446961664,18177460736,14170851328,18446961664,18446961664,FW,762.0,10629539840
Adam(fused),inductor(b=1.0),4,17167697920,17167707136,14173298005,17167707136,17167707136,BW,627.6,10642122752
Adam(fused),inductor(b=0.0),4,11189479424,17305070592,14182385664,17305070592,17305070592,BW,798.1,10642122752
Adam(fused),ac+inductor,4,12018927616,14938933760,14204405760,14938933760,14938933760,BW,754.7,10662045696
Adam(fused),eager,8,26072509440,25535605248,14059718656,26072509440,26072509440,FW,1350.9,10565593088
Adam(fused),inductor(b=1.0),8,23528663040,23528680448,14066010112,23528680448,23528680448,BW,1084.8,10571884544
Adam(fused),inductor(b=0.0),8,11666597888,23805504512,14066010112,23805504512,23805504512,BW,1405.6,10571884544
Adam(fused),ac+inductor,8,13367437312,16095545856,14185547776,16095545856,16095545856,BW,1316.3,10653673472
Adam(fused),eager,16,41568021504,40492165632,14063596202,41568021504,41568021504,FW,2461.9,10566674432
Adam(fused),inductor(b=1.0),16,36466698240,36468780032,14060100949,36468780032,36468780032,BW,1938.0,10565625856
Adam(fused),inductor(b=0.0),16,12755052544,37033913344,14063596202,37033913344,37033913344,BW,2373.0,10565625856
Adam(fused),ac+inductor,16,16034146304,18389546154,14122316458,18389546154,18389546154,BW,2406.6,10610714624
