strategy,group,rt_fw_peak,rt_bw_peak,rt_opt_peak,rt_fwbw_peak,rt_true_peak,rt_peak_phase,rt_step_ms,rt_base,l2_fw_peak,l2_bw_peak,l2_opt_peak,l2_fwbw_peak,l2_true_peak,l2_peak_phase,mre,direction,err_total,err_pct,err_fixed,err_act,err_alloc_overhead,l25_true_peak,l25_mre,l25_direction,l3_true_peak,l3_mre,l3_direction
S01 eager_baseline,G1,26073558016,25536653824,14060767232,26073558016,26073558016,FW,1389.4,10566641664,,,,,,,,,,,,,,,,,,,
S02 classic_ac,G1,13396802560,14786577578,14143255210,14786577578,14786577578,BW,1716.1,10648430592,,,,,,,,,,,,,,,,,,,
S03 sac_save_matmuls,G1,20764097536,20495628800,14060767232,20764097536,20764097536,FW,1527.5,10566641664,,,,,,,,,,,,,,,,,,,
S04 sac_recompute_all,G1,13396802560,14786577578,14143255210,14786577578,14786577578,BW,818.5,10648430592,,,,,,,,,,,,,,,,,,,
S05 aot_eager+default,G2,26074256042,29218150058,14060767232,29218150058,29218150058,BW,1192.3,10566641664,26004025344,30285352960,13993283584,30285352960,30285352960,BW,0.0365253412649853,over,1067202902,3.65253412649853,-67483648,1067202902,0,,,,,,
S06 aot_eager+min_cut,G2,23523420160,26667314176,14060767232,26667314176,26667314176,BW,1435.8,10566641664,23453888512,23977119744,13993283584,23977119744,23977119744,BW,0.10087984167603636,under,-2690194432,-10.087984167603636,-67483648,-2690194432,0,,,,,,
S07 inductor(b=1.0),G2,23529711616,23529729024,14067058688,23529729024,23529729024,BW,1078.6,10572933120,23977185792,23979168256,13993283584,23979168256,23979168256,BW,0.019100909812500524,over,449439232,1.9100909812500524,-73775104,449439232,0,23977185792,0.01901665622853541,over,26687664104,0.13421043127096574,over
S08 inductor(b=0.5),G2,16250972160,17909298346,14114594133,17909298346,17909298346,BW,1143.2,10618021888,17145131520,18728518144,13993283584,18728518144,18728518144,BW,0.04574270762444308,over,819219798,4.574270762444308,-118863872,894159360,0,18728497664,0.045741564084388946,over,21440049068,0.19714623397228653,over
S09 inductor(b=0.0),G2,11667646464,23806553088,14067058688,23806553088,23806553088,BW,1203.2,10572933120,12606923264,28215501824,13993283584,28215501824,28215501824,BW,0.18519895424182123,over,4408948736,18.519895424182124,-73775104,4408948736,0,25296266240,0.06257575998059581,over,24206733228,0.016809663226790943,over
S10 ac+aot_eager(default),G3,13302775125,16870842709,14117390336,16870842709,16870842709,BW,1730.0,10622216192,13177319424,14590464000,13993283584,14590464000,14590464000,BW,0.1351668525593863,under,-2280378709,-13.51668525593863,-123058176,-2280378709,0,,,,,,
S11 ac+inductor,G3,13368485888,16096594432,14186596352,16096594432,16096594432,BW,1309.3,10654722048,13734171136,14742508032,13993283584,14742508032,14742508032,BW,0.08412253944275808,under,-1354086400,-8.412253944275808,-155564032,-1354086400,0,14652330496,0.08972481366175232,under,14556385280,0.09568540466783874,under
S12 sac_mm+inductor,G3,21054547968,21121674240,14084534954,21121674240,21121674240,BW,1116.3,10589710336,21485244928,21755662848,13993283584,21755662848,21755662848,BW,0.03001602054818927,over,633988608,3.001602054818927,-90552320,633988608,0,21755662848,0.03001602054818927,over,21305847784,0.008719647027375042,over
